
"Day 3 · Day 3 · Week 22 · Hyrox Training · Deload","2024-10-31 4:47 pm","1:05 hr"
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,9
2,80,7
3,70,10
"3. Preacher Curls · EZ bar · 10 reps"
#,KG,REPS
1,35,10
2,35,6
3,30,8
"4. Rowing Machine · Machine · 4 min · Superset 1"
#,KM,MINS
1,0.5,1:39
2,0.5,1:48
3,0.5,1:53
"5. Farmer's Walk · Kettlebells · 100 cm · Superset 2","Gym too busy after 1
"
#,KG,MTRS
1,24,100
"6. Running on Treadmill · Machine · 30 min"
#,KM,MINS
1,4,20

"Day 1 · Day 2 · Week 14 · Hyrox Training · Deload","2024-09-13 4:32 pm","58 min"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,100,3
2,90,5
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,4
2,45,5
3,40,7
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+30,8
2,+30,6
3,+30,7
"4. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,53,7
2,46,9
3,46,8
"5. Triceps Pushdowns with Rope · Cable · 10 reps"
#,KG,REPS
1,23.75,10
2,23.75,8
3,21.25,7

"Day 5 · Day 4 · Week 14 · Hyrox Training · Deload","2024-09-12 4:43 pm","1:03 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,11
3,+0,8
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,80,7
2,80,7
3,70,10
"3. Reverse Flys · Cable · 10 reps"
#,KG,REPS
1,6.25,10
2,6.25,10
3,6.25,7
"4. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,8
2,12.5,7
3,10,10
"5. Decline Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+20,20
2,+20,15
3,+20,15
"6. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,20
2,+0,15
3,+0,15
"7. Russian Twists · Bodyweight · 10 reps · Superset 3"
#,KG,REPS
1,+12,12
2,+12,12
3,+12,20
"8. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,12
2,24,12
3,24,12

"Day 3 · Day 3 · Week 14 · Hyrox Training · Deload","2024-09-11 3:56 pm","1:18 hr"
"1. Squats · Barbell · 10 reps"
#,KG,REPS
1,110,8
2,110,8
3,110,6
"2. Standing Calf Raises · Machine · 10 reps"
#,KG,REPS
1,115,12
2,115,12
3,115,10
"3. Sled Push · Misc · 40 cm"
#,KG,MTRS
1,152,28
2,152,28
"4. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,30,30
2,30,30
3,30,30
"5. Running on Treadmill · Machine"
#,KM,MINS
1,5,23

"Day 1 · Day 2 · Week 15 · Hyrox Training · Deload","2024-09-10 4:30 pm","1:32 hr"
"1. Incline Bench Press · Barbell · 6 reps"
#,KG,REPS
1,80,3
2,70,8
3,70,5
"2. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+30,8
2,+30,6
3,+30,7
4,+0,18
"3. Flys · Cable · 10 reps"
#,KG,REPS
1,13.75,8
2,13.75,8
3,13.75,8
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 1"
#,KG,REPS
1,7.5,7
2,7.5,7
3,7.5,6
"5. Triceps Pushdowns · Cable · 10 reps · Superset 2"
#,KG,REPS
1,28.75,12
2,28.75,10
3,25,12
"6. Running on Treadmill · Machine · 20 min"
#,KM,MINS
1,4.4,21

"Day 5 · Day 4 · Week 12 · Hyrox Training · Deload","2024-09-05 3:56 pm","1:29 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,16
2,+0,10
3,+0,9
"2. Rows with Wide Grip · Cable · 10 reps"
#,KG,REPS
1,70,8
2,70,8
3,70,7
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,9
2,12.5,8
3,10,10
"4. Decline Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+20,20
2,+20,15
3,+20,15
"5. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,20
2,+0,15
3,+0,15
"6. Russian Twists · Bodyweight · 10 reps · Superset 3"
#,KG,REPS
1,+12,12
2,+12,20
3,+12,20
"7. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,12
2,24,12
3,24,12
"8. Running on Treadmill · Machine · 3 cm"
#,KM,MINS
1,4,19

"Day 4 · Day 5 · Week 14 · Hyrox Training · Deload","2024-09-03 5:06 pm","50 min"
"1. Incline Bench Press · Barbell · 10 reps"
#,KG,REPS
1,75,5
2,70,8
3,70,6
4,70,5
"2. Standing Shoulder Press · Barbell · 10 reps"
